2025-05-29 13:31:58 | INFO     | main:lifespan:27 - Shutting down Invoice Processor API
2025-05-29 13:32:05 | INFO     | main:lifespan:15 - Starting Invoice Processor API
2025-05-29 13:32:06 | INFO     | main:lifespan:20 - Database tables created successfully
2025-05-29 13:37:00 | INFO     | main:lifespan:27 - Shutting down Invoice Processor API
2025-05-29 13:37:05 | INFO     | main:lifespan:15 - Starting Invoice Processor API
2025-05-29 13:37:06 | INFO     | main:lifespan:20 - Database tables created successfully
2025-05-29 13:40:54 | INFO     | main:lifespan:27 - Shutting down Invoice Processor API
2025-05-29 13:40:59 | INFO     | main:lifespan:15 - Starting Invoice Processor API
2025-05-29 13:40:59 | INFO     | main:lifespan:20 - Database tables created successfully
2025-05-29 13:41:58 | INFO     | app.utils.file_utils:save_file:21 - Saved file: data.csv
2025-05-29 13:41:58 | INFO     | app.dao.base_dao:create:18 - Created FileUpload with ID: N/A
2025-05-29 13:41:58 | INFO     | app.dao.file_upload_dao:update_processing_status:30 - Updated file upload 8 status to processing
2025-05-29 13:41:58 | INFO     | app.dao.base_dao:create:18 - Created ProcessingLog with ID: N/A
2025-05-29 13:41:58 | ERROR    | app.database.connection:get_db_session:38 - Database transaction error: 'FileProcessingBAO' object has no attribute 'extract_context'
2025-05-29 13:41:58 | ERROR    | app.bao.file_processing_bao:process_uploaded_file:91 - Error processing file 8: 'FileProcessingBAO' object has no attribute 'extract_context'
2025-05-29 13:41:58 | INFO     | app.dao.file_upload_dao:update_processing_status:30 - Updated file upload 8 status to failed
2025-05-29 13:41:58 | INFO     | app.dao.base_dao:create:18 - Created ProcessingLog with ID: N/A
2025-05-29 13:41:58 | ERROR    | app.routes.upload_routes:upload_file:69 - Error uploading file: 'FileProcessingBAO' object has no attribute 'extract_context'
2025-05-29 13:41:58 | ERROR    | app.database.connection:get_db:24 - Database session error: 
2025-05-29 13:43:28 | INFO     | main:lifespan:27 - Shutting down Invoice Processor API
2025-05-29 13:43:34 | INFO     | main:lifespan:15 - Starting Invoice Processor API
2025-05-29 13:43:34 | INFO     | main:lifespan:20 - Database tables created successfully
2025-05-29 13:43:34 | INFO     | app.utils.file_utils:save_file:21 - Saved file: data.csv
2025-05-29 13:43:34 | INFO     | app.dao.base_dao:create:18 - Created FileUpload with ID: N/A
2025-05-29 13:43:35 | INFO     | app.dao.file_upload_dao:update_processing_status:30 - Updated file upload 9 status to processing
2025-05-29 13:43:35 | INFO     | app.dao.base_dao:create:18 - Created ProcessingLog with ID: N/A
2025-05-29 13:43:35 | INFO     | app.utils.file_utils:extract_data_from_csv:61 - Extracted data from CSV: uploads\data.csv (3 rows)
2025-05-29 13:43:35 | ERROR    | app.database.connection:get_db_session:38 - Database transaction error: LLMMappingBAO._build_mapping_prompt() missing 1 required positional argument: 'file_context'
2025-05-29 13:43:35 | ERROR    | app.bao.file_processing_bao:process_uploaded_file:91 - Error processing file 9: LLMMappingBAO._build_mapping_prompt() missing 1 required positional argument: 'file_context'
2025-05-29 13:43:35 | INFO     | app.dao.file_upload_dao:update_processing_status:30 - Updated file upload 9 status to failed
2025-05-29 13:43:35 | INFO     | app.dao.base_dao:create:18 - Created ProcessingLog with ID: N/A
2025-05-29 13:43:35 | ERROR    | app.routes.upload_routes:upload_file:69 - Error uploading file: LLMMappingBAO._build_mapping_prompt() missing 1 required positional argument: 'file_context'
2025-05-29 13:43:35 | ERROR    | app.database.connection:get_db:24 - Database session error: 
2025-05-29 13:48:29 | INFO     | main:lifespan:27 - Shutting down Invoice Processor API
2025-05-29 13:48:35 | INFO     | main:lifespan:15 - Starting Invoice Processor API
